,Unnamed: 0,Country,HappinessRank,HappinessScore,Whiskerhigh,Whiskerlow,EconomyGDPperCapita,Family,HealthLifeExpectancy,Freedom,Generosity,TrustGovernmentCorruption,DystopiaResidual,country_id,Latitude,Longitude,Predicted Outcome
125,125,Congo (Kinshasa),126,4.28000021,4.357810833,4.202189587,0.092102349,1.229023457,0.191407025,0.235961348,0.246455833,0.060241356,2.224958658,34,-4.038333,21.758664,Below Average Happiness
126,126,Mali,127,4.190000057,4.269670711,4.110329403,0.476180494,1.281473398,0.169365674,0.306613743,0.183354199,0.104970247,1.668190956,90,17.570692,-3.996166,Below Average Happiness
127,127,Ivory Coast,128,4.179999828,4.275182563,4.084817093,0.603048921,0.90478003,0.04864217,0.447706193,0.20123747,0.130061775,1.844964266,69,7.539989,-5.54708,Below Average Happiness
128,128,Cambodia,129,4.168000221,4.278517814,4.057482629,0.601765096,1.006238341,0.429783404,0.633375823,0.385922968,0.068105951,1.042941093,24,12.565679,104.990963,Below Average Happiness
129,129,Sudan,130,4.138999939,4.345747165,3.932252713,0.659516692,1.21400857,0.290920824,0.014995855,0.182317451,0.08984752,1.68706584,139,12.862807,30.217636,Below Average Happiness
130,130,Ghana,131,4.119999886,4.222707209,4.017292563,0.667224824,0.873664737,0.295637727,0.423026294,0.256923944,0.02533637,1.577867508,52,7.946527,-1.023194,Below Average Happiness
131,131,Ukraine,132,4.096000195,4.185410105,4.006590285,0.894651949,1.394537568,0.575903952,0.122974776,0.270061463,0.023029471,0.814382315,156,48.379433,31.1655799,Below Average Happiness
132,132,Uganda,133,4.080999851,4.195799967,3.966199735,0.381430715,1.129827738,0.217632607,0.443185955,0.325766057,0.057069719,1.526362658,155,1.373333,32.290275,Below Average Happiness
133,133,Burkina Faso,134,4.032000065,4.124059064,3.939941065,0.350227714,1.043280005,0.215844259,0.324367851,0.250864685,0.120328106,1.727212906,22,12.238333,-1.561593,Below Average Happiness
134,134,Niger,135,4.027999878,4.11194682,3.944052936,0.161925331,0.993025005,0.268505007,0.363658696,0.228673846,0.138572946,1.873983383,106,17.607789,8.081666,Below Average Happiness
135,135,Malawi,136,3.970000029,4.077478817,3.86252124,0.233442038,0.512568831,0.315089583,0.466914654,0.28717047,0.072711654,2.081786156,88,-13.254308,34.301525,Below Average Happiness
136,136,Chad,137,3.936000109,4.034711524,3.837288693,0.438012987,0.953855872,0.041134715,0.162342027,0.21611385,0.053581882,2.071238041,28,15.454166,18.732207,Below Average Happiness
137,137,Zimbabwe,138,3.875,3.978699643,3.771300357,0.375846535,1.083095908,0.196763754,0.336384207,0.189143494,0.095375381,1.597970247,166,-19.015438,29.154857,Below Average Happiness
138,138,Lesotho,139,3.808000088,4.044343975,3.5716562,0.521021247,1.190095186,0,0.390661299,0.157497272,0.11909464,1.42983532,81,-29.609988,28.233608,Below Average Happiness
139,139,Angola,140,3.795000076,3.951641935,3.638358217,0.85842818,1.10441196,0.049868666,0,0.09792649,0.069720335,1.614482403,4,-11.202692,17.873887,Below Average Happiness
140,140,Afghanistan,141,3.79399991,3.873661415,3.714338405,0.401477218,0.581543326,0.180746779,0.10617952,0.311870933,0.06115783,2.150801182,1,33.93911,67.709953,Below Average Happiness
141,141,Botswana,142,3.766000032,3.874122666,3.657877399,1.122094154,1.221554995,0.341755509,0.505196333,0.099348448,0.098583199,0.377913713,19,-22.328474,24.684866,Below Average Happiness
142,142,Benin,143,3.657000065,3.745783551,3.568216578,0.431085408,0.435299844,0.209930211,0.425962776,0.207948461,0.060929015,1.885630965,15,9.30769,2.315834,Below Average Happiness
143,143,Madagascar,144,3.644000053,3.714319106,3.573681001,0.305808693,0.913020372,0.375223309,0.189196765,0.20873253,0.067231975,1.584612608,87,-18.766947,46.869107,Below Average Happiness
