,Unnamed: 0,Country,Region,Happiness Rank,Happiness Score,Standard Error,Economy (GDP per Capita),Family,Health (Life Expectancy),Freedom,Trust (Government Corruption),Generosity,Dystopia Residual,country_id,Latitude,Longitude
60,60,Malaysia,Southeastern Asia,61,5.77,0.0433,1.12486,1.07023,0.7239399999999999,0.5302399999999999,0.10501,0.33075,1.88541,89,4.210483999999999,101.97576600000001
61,61,Croatia,Central and Eastern Europe,62,5.759,0.04394,1.08254,0.79624,0.78805,0.25883,0.0243,0.05444,2.75414,36,45.1,15.200000099999999
62,62,Libya,Middle East and Northern Africa,63,5.754,0.07832,1.13145,1.1186200000000002,0.7038,0.41668,0.11023,0.18295,2.09066,83,26.3351,17.228331
63,63,Russia,Central and Eastern Europe,64,5.716,0.03135,1.13764,1.23617,0.6692600000000001,0.36679,0.03005,0.00199,2.27394,122,61.52401,105.31875600000001
64,64,Jamaica,Latin America and Caribbean,65,5.709,0.13693,0.81038,1.1510200000000002,0.6874100000000001,0.50442,0.02299,0.2123,2.32038,70,18.109581,-77.297508
65,65,North Cyprus,Western Europe,66,5.695,0.05635,1.20806,1.07008,0.92356,0.49027,0.1428,0.26169000000000003,1.59888,108,35.2480359,33.6577243
66,66,Cyprus,Western Europe,67,5.689,0.0558,1.20813,0.89318,0.92356,0.40672,0.06146,0.30638000000000004,1.88931,37,35.126413,33.429859
67,67,Algeria,Middle East and Northern Africa,68,5.605,0.05099,0.93929,1.07772,0.61766,0.28579,0.17382999999999998,0.07822,2.43209,3,28.033886,1.6596259999999998
68,68,Kosovo,Central and Eastern Europe,69,5.589,0.05018,0.80148,0.81198,0.63132,0.24749,0.04741,0.2831,2.76579,75,42.6026359,20.902977
69,69,Turkmenistan,Central and Eastern Europe,70,5.547999999999999,0.04175,0.95847,1.22668,0.53886,0.4761,0.30844,0.16979,1.86984,154,38.969719,59.556278000000006
70,70,Mauritius,Sub-Saharan Africa,71,5.477,0.07197,1.00761,0.98521,0.7095,0.56066,0.07521,0.37744,1.76145,93,-20.348404000000002,57.552152
71,71,Hong Kong,Eastern Asia,72,5.474,0.05051,1.38604,1.05818,1.01328,0.59608,0.37124,0.39478,0.6542899999999999,58,22.319303899999998,114.1693611
72,72,Estonia,Central and Eastern Europe,73,5.4289999999999985,0.04013,1.15174,1.22791,0.77361,0.44888,0.15184,0.0868,1.58782,45,58.595271999999994,25.0136071
73,73,Indonesia,Southeastern Asia,74,5.399,0.025960000000000004,0.8282700000000001,1.0870799999999998,0.63793,0.46611,0.0,0.51535,1.86399,63,-0.789275,113.921327
74,74,Vietnam,Southeastern Asia,75,5.36,0.03107,0.63216,0.91226,0.7467600000000001,0.59444,0.10441,0.1686,2.20173,163,14.058323999999999,108.277199
75,75,Turkey,Middle East and Northern Africa,76,5.332000000000002,0.03864,1.06098,0.94632,0.73172,0.22815,0.15746,0.12253,2.08528,153,38.963745,35.243322
76,76,Kyrgyzstan,Central and Eastern Europe,77,5.2860000000000005,0.03823,0.47428,1.15115,0.65088,0.43477,0.04232,0.3003,2.2327,77,41.20438,74.766098
77,77,Nigeria,Sub-Saharan Africa,78,5.268,0.04192,0.65435,0.90432,0.16007000000000002,0.34334000000000003,0.0403,0.27233,2.89319,107,9.081999,8.675277000000001
78,78,Bhutan,Southern Asia,79,5.252999999999999,0.03225,0.77042,1.10395,0.57407,0.5320600000000001,0.15445,0.47998,1.63794,16,27.514162,90.433601
79,79,Azerbaijan,Central and Eastern Europe,80,5.2120000000000015,0.03363,1.02389,0.93793,0.64045,0.3703,0.16065,0.07799,2.00073,9,40.143105,47.576927000000005
80,80,Pakistan,Southern Asia,81,5.194,0.03726,0.59543,0.41411,0.51466,0.12102,0.10464,0.33671,3.1070900000000004,111,30.375321000000003,69.345116
